source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
,0,,bopindolol,19018640,RxNorm,1970-01-01,2099-12-31,
,0,,mirtazapine,725131,RxNorm,1970-01-01,2099-12-31,
,0,,sulfacetamide,1036252,RxNorm,1970-01-01,2099-12-31,
,0,,droperidol,739323,RxNorm,1970-01-01,2099-12-31,
,0,,borage,0,,1970-01-01,2099-12-31,
,0,,misoprostol,1150871,RxNorm,1970-01-01,2099-12-31,
,0,,drospirenone,1512674,RxNorm,1970-01-01,2099-12-31,
,0,,sulfacetamide sodium,1036252,RxNorm,1970-01-01,2099-12-31,
,0,,boric acid,929698,RxNorm,1970-01-01,2099-12-31,
,0,,mistletoe,0,,1970-01-01,2099-12-31,
,0,,drospirenone/estradiol,0,,1970-01-01,2099-12-31,
,0,,bornaprine,19018661,RxNorm,1970-01-01,2099-12-31,
,0,,mitomycin,1389036,RxNorm,1970-01-01,2099-12-31,
,0,,sulfacetamide sodium/prednisolone acetate,0,,1970-01-01,2099-12-31,
,0,,bortezomib,1336825,RxNorm,1970-01-01,2099-12-31,
,0,,mitotane,1309161,RxNorm,1970-01-01,2099-12-31,
,0,,sulfacytine,19026707,RxNorm,1970-01-01,2099-12-31,
,0,,drospirenone/ethinyl estradiol,0,,1970-01-01,2099-12-31,
,0,,bosentan,1321636,RxNorm,1970-01-01,2099-12-31,
,0,,sulfadiazine,1836391,RxNorm,1970-01-01,2099-12-31,
,0,,mitoxantrone,1309188,RxNorm,1970-01-01,2099-12-31,
,0,,bosutinib,42900401,RxNorm,1970-01-01,2099-12-31,
,0,,sulfadoxine,1836410,RxNorm,1970-01-01,2099-12-31,
,0,,mitoxantrone hydrochloride,1309188,RxNorm,1970-01-01,2099-12-31,
,0,,drospirenone/ethinyl estradiol/levomefolate calcium and levomefolate calcium,0,,1970-01-01,2099-12-31,
,0,,botulism antitoxin,0,,1970-01-01,2099-12-31,
,0,,sulfadoxine/pyrimethamine,0,,1970-01-01,2099-12-31,
,0,,mivacurium,19010459,RxNorm,1970-01-01,2099-12-31,
,0,,sulfaguanidine,19000819,RxNorm,1970-01-01,2099-12-31,
,0,,drotrecogin alfa,1731597,RxNorm,1970-01-01,2099-12-31,
,0,,mivacurium chloride,19010459,RxNorm,1970-01-01,2099-12-31,
,0,,sulfamerazine,19136426,RxNorm,1970-01-01,2099-12-31,
,0,,botulism equine heptavalent antitoxin (abcdefg),0,,1970-01-01,2099-12-31,
,0,,droxicam,19056645,RxNorm,1970-01-01,2099-12-31,
,0,,mizolastine,19086100,RxNorm,1970-01-01,2099-12-31,
,0,,sulfamethazine,19136429,RxNorm,1970-01-01,2099-12-31,
,0,,droxidopa,44814542,RxNorm,1970-01-01,2099-12-31,
,0,,brentuximab vedotin,40241969,RxNorm,1970-01-01,2099-12-31,
,0,,moclobemide,19010652,RxNorm,1970-01-01,2099-12-31,
