source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
,0,,increased risk of bleeding,37689556,MedDRA,01/01/1970,31/12/2099,
,0,,increased X exposure,0,,01/01/1970,31/12/2099,
,0,,an increased risk of bleeding,37689556,MedDRA,01/01/1970,31/12/2099,
,0,,increased risk of qt-interval prolongation,36356471,MedDRA,01/01/1970,31/12/2099,
,0,,increased risk of serotonin syndrome,36718458,MedDRA,01/01/1970,31/12/2099,
,0,,renal dysfunction and/or increased blood pressure,36356902,MedDRA,01/01/1970,31/12/2099,
,0,,renal dysfunction and/or increased blood pressure,37080803,MedDRA,01/01/1970,31/12/2099,
,0,,increased risk of qt interval prolongation,36356471,MedDRA,01/01/1970,31/12/2099,
,0,,an increased risk of qt interval prolongation,36356471,MedDRA,01/01/1970,31/12/2099,
,0,,increased risk of respiratory and cns depression,36775683,MedDRA,01/01/1970,31/12/2099,
,0,,increased risk of respiratory and cns depression,37282830,MedDRA,01/01/1970,31/12/2099,
,0,,decreased X exposure,0,,01/01/1970,31/12/2099,
,0,,reduced diuretic effectiveness and possible nephrotoxicity,36252565,MedDRA,01/01/1970,31/12/2099,
,0,,increased X plasma concentrations,0,,01/01/1970,31/12/2099,
,0,,"an increased risk of cardiotoxicity (qt prolongation, torsades de pointes, cardiac arrest)",35226721,MedDRA,01/01/1970,31/12/2099,
,0,,"an increased risk of cardiotoxicity (qt prolongation, torsades de pointes, cardiac arrest)",36356472,MedDRA,01/01/1970,31/12/2099,
,0,,"an increased risk of cardiotoxicity (qt prolongation, torsades de pointes, cardiac arrest)",35226682,MedDRA,01/01/1970,31/12/2099,
,0,,"an increased risk of cardiotoxicity (qt prolongation, torsades de pointes, cardiac arrest)",35204996,MedDRA,01/01/1970,31/12/2099,
,0,,increased risk of gastrointestinal ulcer or bleeding,35739271,MedDRA,01/01/1970,31/12/2099,
,0,,increased risk of gastrointestinal ulcer or bleeding,35737033,MedDRA,01/01/1970,31/12/2099,
,0,,decreased X effectiveness,0,,01/01/1970,31/12/2099,
,0,,increased exposure of X,0,,01/01/1970,31/12/2099,
,0,,decreased X plasma concentrations,0,,01/01/1970,31/12/2099,
,0,,"an increased risk of serotonin syndrome (hypertension, hyperthermia, myoclonus, mental status changes)",36718458,MedDRA,01/01/1970,31/12/2099,
,0,,"an increased risk of serotonin syndrome (hypertension, hyperthermia, myoclonus, mental status changes)",36718362,MedDRA,01/01/1970,31/12/2099,
,0,,"an increased risk of serotonin syndrome (hypertension, hyperthermia, myoclonus, mental status changes)",36919118,MedDRA,01/01/1970,31/12/2099,
,0,,"an increased risk of serotonin syndrome (hypertension, hyperthermia, myoclonus, mental status changes)",35809039,MedDRA,01/01/1970,31/12/2099,
,0,,"an increased risk of serotonin syndrome (hypertension, hyperthermia, myoclonus, mental status changes)",37622529,MedDRA,01/01/1970,31/12/2099,
,0,,increased exposure of cyp3a substrate,0,,01/01/1970,31/12/2099,
,0,,"reduced diuretic effectiveness, hyperkalemia, or possible nephrotoxicity",36468128,MedDRA,01/01/1970,31/12/2099,
,0,,"reduced diuretic effectiveness, hyperkalemia, or possible nephrotoxicity",36252565,MedDRA,01/01/1970,31/12/2099,
,0,,additive respiratory depression,37282830,MedDRA,01/01/1970,31/12/2099,
,0,,increased risk of qt prolongation,36356472,MedDRA,01/01/1970,31/12/2099,
,0,,"increased risk of adverse events (ie, hypotension, syncope, hyperkalemia, changes in renal function, acute renal failure)",37080759,MedDRA,01/01/1970,31/12/2099,
,0,,"increased risk of adverse events (ie, hypotension, syncope, hyperkalemia, changes in renal function, acute renal failure)",36468128,MedDRA,01/01/1970,31/12/2099,
,0,,"increased risk of adverse events (ie, hypotension, syncope, hyperkalemia, changes in renal function, acute renal failure)",37689224,MedDRA,01/01/1970,31/12/2099,
,0,,"increased risk of adverse events (ie, hypotension, syncope, hyperkalemia, changes in renal function, acute renal failure)",35205037,MedDRA,01/01/1970,31/12/2099,
,0,,"increased risk of adverse events (ie, hypotension, syncope, hyperkalemia, changes in renal function, acute renal failure)",37080806,MedDRA,01/01/1970,31/12/2099,
,0,,hyperkalemia,36468128,MedDRA,01/01/1970,31/12/2099,
,0,,decreased exposure of X,0,,01/01/1970,31/12/2099,
,0,,an increased risk of serotonin syndrome,36718458,MedDRA,01/01/1970,31/12/2099,
,0,,"potentiation of impaired cognitive function and motor skills and an increased risk of respiratory depression, hypotension, profound sedation, and syncope",36775095,MedDRA,01/01/1970,31/12/2099,
